,as_of,ask_id,equity_econ_sector_basic_materials_pct_long_rs,equity_econ_sector_communication_services_pct_long_rs,equity_econ_sector_consumer_cyclical_pct_long_rs,equity_econ_sector_consumer_defensive_pct_long_rs,equity_econ_sector_energy_pct_long_rs,equity_econ_sector_financial_services_pct_long_rs,equity_econ_sector_healthcare_pct_long_rs,equity_econ_sector_industrials_pct_long_rs,equity_econ_sector_real_est_pct_long_rs,equity_econ_sector_technology_pct_long_rs,equity_econ_sector_utilities_pct_long_rs,equity_style_small_core_pct_long_rs,equity_style_small_value_pct_long_rs,equity_style_small_growth_pct_long_rs,equity_style_mid_value_pct_long_rs,equity_style_mid_growth_pct_long_rs,equity_style_mid_core_pct_long_rs,equity_style_large_value_pct_long_rs,equity_style_large_growth_pct_long_rs,equity_style_large_core_pct_long_rs,asset_alloc_conv_bond_pct_long_rs,asset_alloc_bond_pct_long_rs,asset_alloc_cash_pct_long_rs,asset_alloc_equity_pct_long_rs,asset_alloc_other_pct_long_rs,asset_alloc_pref_stock_pct_long_rs,fixed_inc_ps_ag_mtge_bck_pct_long_rs,fixed_inc_ps_asset_bck_pct_long_rs,fixed_inc_ps_bank_loan_pct_long_rs,fixed_inc_ps_commercial_mtge_bck_pct_long_rs,fixed_inc_ps_convertible_pct_long_rs,fixed_inc_ps_corporate_bond_pct_long_rs,fixed_inc_ps_covered_bond_pct_long_rs,fixed_inc_ps_forward_future_pct_long_rs,fixed_inc_ps_gov_pct_long_rs,fixed_inc_ps_gov_related_pct_long_rs,fixed_inc_ps_municipal_tax_exempt_pct_long_rs,fixed_inc_ps_municipal_taxable_pct_long_rs,fixed_inc_ps_non_ag_res_mtge_bck_pct_long_rs,fixed_inc_ps_option_warrant_pct_long_rs,fixed_inc_ps_preferred_stock_pct_long_rs,fixed_inc_ps_swap_pct_long_rs
42,2000-08,B13177,13.12,0.72,16.12,6.01,5.5,20.78,8.53,15.33,0.0,7.33,6.57,12.63,2.84,0.0,37.39,7.73,37.76,0.0,1.65,0.0,0.0,0.0,5.3,94.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2000-09,B02396,1.94,0.0,27.1,5.24,0.0,0.0,6.62,27.79,0.0,31.31,0.0,23.05,17.93,7.72,15.55,6.68,24.55,0.0,4.53,0.0,0.0,0.0,1.61,98.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2000-09,B04312,0.0,1.73,14.77,4.29,15.49,3.39,21.16,8.41,0.0,28.73,2.03,0.0,0.0,4.04,0.52,68.43,13.51,0.0,13.5,0.0,0.0,0.0,10.7,89.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2000-09,B04841,0.0,24.6,15.56,3.1,4.29,28.03,5.19,15.13,0.0,4.02,0.08,0.21,3.69,4.16,19.7,40.58,16.47,5.81,5.83,3.56,0.0,0.34,0.88,98.29,0.0,0.48,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.29,0.0
46,2000-09,B06061,6.53,5.89,14.97,5.05,9.09,36.07,5.71,7.92,2.51,6.26,0.0,0.0,0.11,0.0,16.46,0.0,28.29,44.47,2.28,8.41,0.0,0.0,0.0,99.02,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
47,2000-09,B07347,0.31,6.79,13.3,1.01,3.17,5.89,21.09,13.22,0.39,34.46,0.38,12.59,5.74,20.26,1.16,26.31,5.64,1.06,24.88,2.36,1.05,0.0,10.3,85.7,0.43,2.52,0.0,0.0,0.0,0.0,7.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.15,0.0
48,2000-09,B11222,6.32,0.0,25.93,7.69,0.0,9.65,1.97,6.93,0.0,41.52,0.0,5.27,12.16,12.93,1.64,16.25,5.71,1.16,39.03,5.86,0.0,0.0,1.55,98.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2000-09,B13177,9.74,0.61,17.89,5.96,4.87,22.09,8.27,13.49,1.07,4.84,11.16,12.93,5.0,0.0,39.67,10.39,30.73,0.0,1.28,0.0,0.0,0.0,5.04,94.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2000-09,B14040,0.0,10.0,6.55,4.31,10.45,9.42,19.35,9.27,0.0,29.07,1.59,5.73,0.7,0.13,4.79,38.79,21.92,0.0,27.94,0.0,0.0,0.0,4.19,95.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2000-10,B02396,2.12,0.0,28.97,4.93,0.0,0.0,5.99,26.31,0.0,31.67,0.0,22.07,16.77,7.93,14.68,5.51,25.78,0.0,3.99,3.27,0.0,0.0,4.92,95.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
